# ----------------------------------------
# Todos os dados do website
# Face Relatório
# 20210901-20210930
# ----------------------------------------

Campanha,Data,Sessões,/delivery - Soma 'Peça Agora'(14) e 'Veja o Cardápio Completo'(12) (Conclusões da meta 13),Usuários
rec_topo_int_regioes_casquinha,20210903,36,2,36
rec_topo_int_regioes_casquinha,20210924,36,2,36
rec_topo_int_regioes_casquinha,20210901,35,2,35
rec_topo_int_regioes_casquinha,20210912,35,1,35
rec_topo_int_regioes_casquinha,20210902,34,1,34
rec_topo_int_regioes_casquinha,20210908,34,0,33
rec_topo_int_regioes_casquinha,20210917,34,1,34
engaj_post_topo_int,20210928,33,0,32
rec_topo_int_regioes_casquinha,20210930,33,2,33
rec_topo_int_regioes_casquinha,20210919,32,1,32
engaj_post_topo_int,20210915,31,6,31
engaj_post_topo_int,20210923,31,4,31
rec_topo_int_regioes_casquinha,20210923,31,1,31
rec_topo_int_regioes_casquinha,20210921,29,2,29
rec_topo_int_regioes_casquinha,20210913,28,1,28
rec_topo_int_regioes_casquinha,20210918,28,1,28
rec_topo_int_regioes_leva_junto_uma_viagem+-+BL,20210928,28,0,28
engaj_post_topo_int,20210922,27,5,27
rec_topo_int_regioes_casquinha,20210929,27,1,26
2021_perf_fundo_delivery_dia-das-criancas_conv_lpv,20210928,26,0,26
rec_topo_int_regioes_casquinha,20210911,26,1,26
rec_topo_int_regioes_casquinha,20210926,26,2,26
2021_perf_fundo_delivery_dia-das-criancas_conv_lpv_lal,20210928,25,0,25
conv_lp_semana_do_gelato,20210928,25,0,22
impulsionamento_topo_engajamento,20210901,25,1,25
rec_topo_int_regioes_casquinha,20210909,25,2,25
rec_topo_int_regioes_casquinha,20210920,25,1,25
engaj_post_topo_int,20210929,24,0,25
2021_perf_fundo_delivery_dia-das-criancas_conv_lpv_rmkt,20210928,23,0,23
rec_topo_int_regioes_casquinha,20210915,23,1,23
rec_topo_int_regioes_speciali_ninho_al_cafe,20210902,23,0,23
2021_perf_fundo_delivery_conv_lpv_rmkt,20210929,21,0,21
rec_topo_int_regioes_casquinha,20210928,21,2,21
engaj_post_topo_int,20210930,18,0,18
rec_topo_int_regioes_casquinha,20210910,18,1,18
rec_topo_int_regioes_leva_junto_uma_viagem+-+BL,20210929,18,0,18
conv_lp_semana_do_gelato,20210929,17,1,14
rec_topo_int_regioes_casquinha,20210927,16,2,16
Impulsionamento_Topo_engajamento_2021,20210901,15,5,15
conv_lp_semana_do_gelato,20210930,14,0,10
2021_perf_fundo_delivery_dia-das-criancas_conv_rmkt,20210929,13,0,13
Delivery_Meio_Conv_LAL_042021,20210915,12,1,1
Delivery_Meio_Conv_LAL_042021,20210909,11,0,3
Delivery_Meio_Conv_LAL_042021,20210907,9,0,2
Delivery_Meio_Conv_LAL_042021,20210913,9,0,1
Delivery_Meio_Conv_LAL_042021,20210906,8,1,2
Delivery_Meio_Conv_LAL_042021,20210908,8,0,2
Delivery_Meio_Conv_LAL_042021,20210917,8,0,1
Delivery_Meio_Conv_LAL_042021,20210911,7,0,2
impulsionamento_topo_engajamento,20210902,7,2,7
Impulsionamento_Topo_engajamento_2021,20210902,7,2,7
rec_topo_int_regioes_speciali_crocante_vegano,20210915,7,1,8
Delivery_Meio_Conv_LAL_042021,20210912,6,0,2
Delivery_Meio_Conv_LAL_042021,20210914,6,0,1
Delivery_Meio_Conv_LAL_042021,20210916,6,0,1
{{campaign.name}},20210927,5,0,5
delivery_fundo_conv_RMKT,20210901,4,0,3
Delivery_Meio_Conv_LAL_042021,20210910,4,0,1
Delivery_Meio_Conv_LAL_042021,20210918,4,0,1
rec_topo_int_regioes_speciali_ninho_al_cafe,20210921,4,0,4
2021_perf_fundo_delivery_conv_lpv_rmkt,20210930,3,0,3
delivery_fundo_conv_RMKT,20210903,3,0,2
Delivery_Fundo_Conv_RMKT_042021,20210906,3,0,2
Delivery_Fundo_Conv_RMKT_042021,20210928,3,0,3
rec_topo_int_regioes_leva_junto_uma_viagem+-+BL,20210930,3,0,3
delivery_fundo_conv_RMKT,20210908,2,0,2
delivery_fundo_conv_RMKT,20210909,2,0,1
delivery_fundo_conv_RMKT,20210910,2,0,1
Delivery_Fundo_Conv_RMKT_042021,20210901,2,0,1
Delivery_Fundo_Conv_RMKT_042021,20210908,2,0,1
Delivery_Fundo_Conv_RMKT_042021,20210910,2,0,1
Delivery_Fundo_Conv_RMKT_042021,20210911,2,0,2
Delivery_Fundo_Conv_RMKT_042021,20210914,2,0,2
Delivery_Fundo_Conv_RMKT_042021,20210916,2,0,1
Delivery_Fundo_Conv_RMKT_042021,20210920,2,0,1
delivery_fundo_conv_RMKT_teste_horário,20210907,2,0,1
Delivery_Meio_Conv_LAL_042021,20210901,2,1,2
Delivery_Meio_Conv_LAL_042021,20210902,2,0,2
Delivery_Meio_Conv_LAL_042021,20210921,2,0,1
rec_topo_int_regioes_leva_junto_uma_viagem+-+BL,20210901,2,0,2
rec_topo_int_regioes_leva_junto_uma_viagem+-+BL,20210906,2,1,2
rec_topo_int_regioes_leva_junto_uma_viagem+-+BL,20210910,2,0,2
rec_topo_int_regioes_principale_leva_junto_uma_viagem — Cópia,20210901,2,0,2
rec_topo_int_regioes_speciali_crocante_vegano,20210916,2,0,2
rec_topo_int_regioes_speciali_crocante_vegano,20210917,2,0,2
rec_topo_int_regioes_speciali_ninho_al_cafe,20210922,2,0,2
trafego_site,20210901,2,0,2
trafego_site,20210902,2,0,1
delivery_fundo_conv_RMKT,20210902,1,0,1
delivery_fundo_conv_RMKT,20210906,1,0,1
delivery_fundo_conv_RMKT,20210907,1,0,1
delivery_fundo_conv_RMKT,20210911,1,0,1
delivery_fundo_conv_RMKT,20210912,1,0,1
Delivery_Fundo_Conv_RMKT_042021,20210902,1,0,1
Delivery_Fundo_Conv_RMKT_042021,20210903,1,0,1
Delivery_Fundo_Conv_RMKT_042021,20210904,1,0,1
Delivery_Fundo_Conv_RMKT_042021,20210905,1,0,1
Delivery_Fundo_Conv_RMKT_042021,20210909,1,0,1
Delivery_Fundo_Conv_RMKT_042021,20210915,1,0,1
Delivery_Fundo_Conv_RMKT_042021,20210917,1,0,1
Delivery_Fundo_Conv_RMKT_042021,20210929,1,0,1
delivery_fundo_conv_RMKT_teste,20210918,1,0,1
delivery_fundo_conv_RMKT_teste_horário,20210901,1,0,1
Delivery_Meio_Conv_LAL_042021,20210903,1,0,1
Delivery_Meio_Conv_LAL_042021,20210924,1,0,1
delivery_meio_conv_LAL_teste_horário,20210927,1,0,1
Delivery_Meio_Trafego_Engaj_042021,20210928,1,0,1
Delivery_Topo_Reconhecimento_interesses_042021,20210912,1,0,1
Delivery_Topo_Reconhecimento_Teste1_PE_042021,20210912,1,0,1
Delivery_Topo_Reconhecimento_Teste1_PE_042021,20210930,1,0,1
impulsionamento_topo_engajamento,20210909,1,0,1
impulsionamento_topo_engajamento,20210913,1,0,1
Impulsionamento_Topo_engajamento_2021,20210910,1,0,1
Impulsionamento_Topo_engajamento_2021,20210923,1,0,1
principale_dolce_far_niente_topo_01072021,20210901,1,0,1
principale_dolce_far_niente_topo_01072021,20210903,1,0,1
principale_junino_Fundo_RMKT_24/05/2021,20210905,1,0,1
rac_conv_meio_LAL_perene_2021,20210907,1,0,1
rac_trafego_meio_engajamento_vegano_2021,20210926,1,0,1
rac_trafego_topo_LAL_engajamento_vegano_2021,20210920,1,0,1
rec_topo_int_regioes_leva_junto_uma_viagem+-+BL,20210902,1,0,1
rec_topo_int_regioes_leva_junto_uma_viagem+-+BL,20210905,1,1,1
rec_topo_int_regioes_leva_junto_uma_viagem+-+BL,20210916,1,1,1
rec_topo_int_regioes_leva_junto_uma_viagem+-+BL,20210921,1,0,1
rec_topo_int_regioes_leva_junto_uma_viagem+-+BL,20210922,1,1,1
rec_topo_int_regioes_leva_junto_uma_viagem+-+BL,20210927,1,1,1
rec_topo_int_regioes_principale_leva_junto_uma_viagem — Cópia,20210902,1,0,1
rec_topo_int_regioes_principale_leva_junto_uma_viagem — Cópia,20210913,1,0,1
rec_topo_int_regioes_principale_primavera+-+BL,20210910,1,0,1
rec_topo_int_regioes_principale_primavera+-+BL,20210913,1,0,1
rec_topo_int_regioes_principale_primavera+-+BL,20210917,1,1,1
rec_topo_int_regioes_principale_primavera+-+BL,20210924,1,0,1
rec_topo_int_regioes_principale_primavera+-+BL,20210927,1,0,1
rec_topo_int_regioes_principale_primavera+-+BL,20210928,1,0,1
rec_topo_int_regioes_speciali_crocante_vegano,20210918,1,0,1
rec_topo_int_regioes_speciali_crocante_vegano,20210919,1,0,1
