"Nome da campanha",Dia,"Status de veiculação","Nível de veiculação","Nome da campanha",Alcance,Frequência,Impressões,"Cliques no link","CPM (custo por 1.000 impressões)","CTR (taxa de cliques no link)","Valor gasto (BRL)","Início dos relatórios","Término dos relatórios"
2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,2021-09-25,active,campaign,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,1031874,1.1075780570108,1142881,1086,2.40545604,0.095023016394533,2749.15,2021-09-25,2021-09-25
2021_geral_topo_engaj_aon_engaj_tipo-p,2021-09-25,active,campaign,2021_geral_topo_engaj_aon_engaj_tipo-p,99350,1.0416809260191,103491,131,7.56616517,0.12658105535747,783.03,2021-09-25,2021-09-25
2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,2021-09-25,inactive,campaign,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,767314,1.0437448033009,800880,596,1.50337129,0.074418140045949,1204.02,2021-09-25,2021-09-25
2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,2021-09-25,active,campaign,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,607967,1.0443329983371,634920,739,2.39230139,0.11639261639262,1518.92,2021-09-25,2021-09-25
2021_perf_meio_mkt-places-delivery_aon_conv_lead,2021-09-25,active,campaign,2021_perf_meio_mkt-places-delivery_aon_conv_lead,158892,1.0648742542104,169200,1149,11.59066194,0.6790780141844,1961.14,2021-09-25,2021-09-25
rec_topo_int_regioes_casquinha,2021-09-24,inactive,campaign,rec_topo_int_regioes_casquinha,89648,1.0737551311797,96260,106,2.5120507,0.1101184292541,241.81,2021-09-24,2021-09-24
2021_perf_fundo_wp_aon_msg_chat_tipo-p,2021-09-24,active,campaign,2021_perf_fundo_wp_aon_msg_chat_tipo-p,2642,1.0825132475397,2860,34,17.1048951,1.1888111888112,48.92,2021-09-24,2021-09-24
2021_perf_fundo_mkt-places-delivery_aon_conv_lead,2021-09-24,active,campaign,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,126718,1.3448365662337,170415,1099,17.44852272,0.64489628260423,2973.49,2021-09-24,2021-09-24
2021_perf_meio_mkt-places-delivery_aon_conv_lead,2021-09-24,active,campaign,2021_perf_meio_mkt-places-delivery_aon_conv_lead,143068,1.0774387004781,154147,961,11.2105328,0.62343088091238,1728.07,2021-09-24,2021-09-24
2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,2021-09-24,inactive,campaign,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,774130,1.0659902083629,825215,592,1.52286374,0.071738880170622,1256.69,2021-09-24,2021-09-24
conv_lp_semana_do_gelato,2021-09-24,inactive,campaign,conv_lp_semana_do_gelato,545396,1.1809144181475,644066,6195,14.27248139,0.96185794623532,9192.42,2021-09-24,2021-09-24
2021_geral_topo_engaj_aon_engaj_tipo-p,2021-09-24,active,campaign,2021_geral_topo_engaj_aon_engaj_tipo-p,92111,1.0435995700839,96127,117,7.27537528,0.12171398254393,699.36,2021-09-24,2021-09-24
2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,2021-09-24,active,campaign,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,928755,1.1073716965185,1028477,939,2.37231362,0.091300048518343,2439.87,2021-09-24,2021-09-24
2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,2021-09-24,active,campaign,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,533502,1.0470776117053,558618,569,2.40520356,0.10185851512125,1343.59,2021-09-24,2021-09-24
2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,2021-09-23,inactive,campaign,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,554968,1.0359137824163,574899,449,1.60819553,0.0781006750751,924.55,2021-09-23,2021-09-23
2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,2021-09-23,active,campaign,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,729679,1.092080216095,796868,734,2.17537911,0.092110613050091,1733.49,2021-09-23,2021-09-23
rec_topo_int_regioes_casquinha,2021-09-23,inactive,campaign,rec_topo_int_regioes_casquinha,71697,1.0663626093142,76455,81,2.63619122,0.10594467333726,201.55,2021-09-23,2021-09-23
conv_lp_semana_do_gelato,2021-09-23,inactive,campaign,conv_lp_semana_do_gelato,432714,1.1484883780049,496967,5531,13.9815521,1.1129511617472,6948.37,2021-09-23,2021-09-23
2021_perf_fundo_mkt-places-delivery_aon_conv_lead,2021-09-23,active,campaign,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,103123,1.2716949662054,131141,832,16.2695877,0.63443164227816,2133.61,2021-09-23,2021-09-23
2021_geral_topo_engaj_aon_engaj_tipo-p,2021-09-23,active,campaign,2021_geral_topo_engaj_aon_engaj_tipo-p,69773,1.0208246743009,71226,60,5.68472187,0.084238901524724,404.9,2021-09-23,2021-09-23
2021_perf_meio_mkt-places-delivery_aon_conv_lead,2021-09-23,active,campaign,2021_perf_meio_mkt-places-delivery_aon_conv_lead,112177,1.0327518118687,115851,748,10.59757792,0.64565692139041,1227.74,2021-09-23,2021-09-23
2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,2021-09-23,active,campaign,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,414818,1.0493710494723,435298,460,2.21505727,0.1056747331713,964.21,2021-09-23,2021-09-23
2021_perf_fundo_wp_aon_msg_chat_tipo-p,2021-09-23,active,campaign,2021_perf_fundo_wp_aon_msg_chat_tipo-p,4654,1.0655350236356,4959,72,15.22887679,1.4519056261343,75.52,2021-09-23,2021-09-23
2021_perf_fundo_mkt-places-delivery_aon_conv_lead,2021-09-22,active,campaign,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,90473,1.3289931802858,120238,773,16.23779504,0.64289159832998,1952.4,2021-09-22,2021-09-22
2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,2021-09-22,active,campaign,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,946132,1.0788716585001,1020755,1124,2.10249276,0.11011457205696,2146.13,2021-09-22,2021-09-22
conv_lp_semana_do_gelato,2021-09-22,inactive,campaign,conv_lp_semana_do_gelato,194876,1.1535694492908,224803,3375,13.44937568,1.5013144842373,3023.46,2021-09-22,2021-09-22
