Campaign ID,Date,Campaign name,Campaign status,Campaign entity status,Campaign Objective,Spend in account currency,Impressions,Click-through conversions (Page visit),Engagement conversions (Page visit),View-through conversions (Page visit),Click-through conversions (Signup),Engagement conversions (Signup),View-through conversions (Signup),Click-through conversions (Checkout),Engagement conversions (Checkout),View-through conversions (Checkout),Click-through conversions (Custom),Engagement conversions (Custom),View-through conversions (Custom),Click-through value (Page visit),Engagement value (Page visit),View-through value (Page visit),Click-through value (Signup),Engagement value (Signup),View-through value (Signup),Click-through order value (Checkout),Engagement order value (Checkout),View-through order value (Checkout),Click-through value (Custom),Engagement value (Custom),View-through value (Custom),Reach,Frequency,CPM,Gross impressions,Gross Pin clicks,Cost per result,Result,Engagements,Engagement rate,CPE,Pin clicks,CTR,CPC,Saves,Outbound clicks,Conversions,CPV,CPCV (100%),CPCV (95%),Video views,Total 3-Second Video Views,Total video played at 25%,Total video played at 50%,Total video played at 75%,Total video played at 95%,Total video played at 100%,Total video starts,Total save rate,Paid impressions,Paid engagements,Engagement rate,Paid Pin clicks,Paid CTR,Paid saves,Paid outbound clicks,Paid save rate,Paid video views,3-Second Video Views,Paid video played at 25%,Paid video played at 50%,Paid video played at 75%,Paid video played at 95%,Paid video played at 100%,Paid video starts,Paid average video play time,Earned impressions,Earned engagements,Earned Pin clicks,Earned CTR,Earned saves,Earned outbound clicks,Earned save rate,Earned video views,Earned 3-Second Video Views,Earned video played at 25%,Earned video played at 50%,Earned video played at 75%,Earned video played at 95%,Earned video played at 100%,Earned video starts,Earned average video play time
C626744280134,2021-09-23,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,1.2307692307692308,0,0,0,[0.0],[1],1,0.005208333333333333,0,1,0.005208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,1,1,0.005208333333333333,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-24,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157,1.4394904458598725,0,0,0,[0.0],[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-25,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162,1.3024691358024691,0,0,0,[0.0],[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-26,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,1.301775147928994,0,0,0,[0.0],[1],1,0.004545454545454545,0,1,0.004545454545454545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,1,1,0.004545454545454545,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-27,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,1.2154696132596685,0,0,0,[0.0],[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-28,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,1.348314606741573,0,0,0,[0.0],[1],1,0.004166666666666667,0,1,0.004166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,1,1,0.004166666666666667,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-29,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,1.3583815028901733,0,0,0,[0.0],[2],2,0.00851063829787234,0,2,0.00851063829787234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,235,2,2,0.00851063829787234,0,0,0,0,0,0,0,0,0,0,0,0
C626744280134,2021-09-30,2021-07-09 Consideração - Dolce Far Niente,PAUSED,PAUSED,Traffic,0,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,1.7514124293785311,0,0,0,[0.0],[1],1,0.0032258064516129032,0,1,0.0032258064516129032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,1,1,0.0032258064516129032,0,0,0,0,0,0,0,0,0,0,0,0
C626744385053,2021-09-01,2021-07-30 Visualizações do vídeo - Transição Rappi,PAUSED,PAUSED,Video,265.26,26177,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21546,1.2149332619905113,10.142199854706737,26352,68,[0.017599462247876858],[15072],87,0.0033235282881919244,3.0489551149425287,66,0.0025212973220766323,4.019077196969697,1,16,73,0.017599462247876858,0.17660392476697737,0.1705846270096463,15072,11601,9422,4158,2232,1555,1502,25890,3.8201474576918666E-5,26154,87,0.0033264510208763478,66,0.0025235145675613674,1,16,3.823506920547526E-5,15064,11593,9416,4156,2231,1554,1501,25880,5.055528709428129,23,0,0,0,0,0,0,8,8,6,2,1,1,1,10,6.7537
C626744385053,2021-09-02,2021-07-30 Visualizações do vídeo - Transição Rappi,PAUSED,PAUSED,Video,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2.3333333333333335,0,0,0,[0.0],[5],0,0,0,0,0,0,0,0,0,0,0,0,5,5,3,1,1,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,5,5,3,1,1,1,1,8,7.47175
