Dia
1 de Março de 2021 - 31 de Outubro de 2021
Campanha,Dia,Código da moeda,Impr.,Cliques,CPM médio,CPC médio,CTR,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Custo
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-07-20,BRL,1.433,118,"44,77","0,54","8,23%","33,23",0,"1,93","28,16%","64,15"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-07-25,BRL,2.167,186,"60,43","0,70","8,58%","96,74",0,"1,35","52,01%","130,96"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-10-14,BRL,3.161,274,"106,50","1,23","8,67%","72,00",0,"4,68","26,28%","336,66"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-10-23,BRL,2.622,210,"174,68","2,18","8,01%","19,00",0,"24,11","9,05%","458,02"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-08-28,BRL,3.223,286,"77,32","0,87","8,87%","77,00",0,"3,24","26,92%","249,21"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-05-15,BRL,629,88,"183,37","1,31","13,99%","32,00",0,"3,60","36,36%","115,34"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-05-29,BRL,883,116,"116,92","0,89","13,14%","72,78",0,"1,42","62,75%","103,24"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-03-12,BRL,1.906,196,"241,07","2,34","10,28%","59,00",0,"7,79","30,10%","459,47"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-07-21,BRL,1.813,150,"62,52","0,76","8,27%","48,00",0,"2,36","32,00%","113,35"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-07-26,BRL,1.601,134,"48,84","0,58","8,37%","54,50",0,"1,43","40,67%","78,20"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-08-24,BRL,2.967,267,"49,45","0,55","9,00%","103,00",0,"1,42","38,58%","146,71"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-04-05,BRL,639,66,"162,91","1,58","10,33%","12,00",0,"8,68","18,18%","104,10"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-04-22,BRL,773,67,"273,66","3,16","8,67%","20,00",0,"10,58","29,85%","211,54"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-05-20,BRL,591,75,"156,85","1,24","12,69%","31,00",0,"2,99","41,33%","92,70"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-03-13,BRL,3.499,356,"243,08","2,39","10,17%","90,00",0,"9,45","25,28%","850,52"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-06,BRL,5.665,472,"89,95","1,08","8,33%","152,00",0,"3,35","32,20%","509,59"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-06-19,BRL,5.554,452,"106,94","1,31","8,14%","175,73",0,"3,38","38,88%","593,96"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-07-01,BRL,1.169,91,"79,50","1,02","7,78%","34,00",0,"2,73","37,36%","92,93"
rac_trueview_for_reach_semana_gelato,2021-09-24,BRL,313.960,728,"6,55","2,83","0,23%","36,00",0,"57,15","0,04%","2057,42"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-09-30,BRL,3.612,257,"50,90","0,72","7,12%","62,00",0,"2,97","24,12%","183,85"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-10-12,BRL,4.014,429,"80,96","0,76","10,69%","123,27",0,"2,64","28,74%","324,99"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-10-22,BRL,2.888,206,"149,68","2,10","7,13%","22,09",0,"19,57","10,72%","432,29"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-10-25,BRL,2.063,129,"113,91","1,82","6,25%","12,00",0,"19,58","9,30%","234,99"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-08-29,BRL,3.109,312,"78,53","0,78","10,04%","135,85",0,"1,80","43,54%","244,15"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-08-31,BRL,2.351,208,"61,62","0,70","8,85%","72,00",0,"2,01","34,62%","144,87"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-09-18,BRL,4.695,437,"70,72","0,76","9,31%","196,00",0,"1,69","44,85%","332,04"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-04-06,BRL,673,78,"221,99","1,92","11,59%","24,00",0,"6,23","30,77%","149,40"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-04-09,BRL,970,126,"310,88","2,39","12,99%","51,00",0,"5,91","40,48%","301,55"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-04-23,BRL,1.038,121,"384,73","3,30","11,66%","34,00",0,"11,75","28,10%","399,35"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-05-03,BRL,795,92,"348,21","3,01","11,57%","45,00",0,"6,15","48,91%","276,83"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-05-17,BRL,584,79,"159,13","1,18","13,53%","37,00",0,"2,51","46,84%","92,93"
2021_perf_fundo_aon_mkt-places-delivery_search_delivery,2021-05-18,BRL,539,59,"173,93","1,59","10,95%","25,00",0,"3,75","42,37%","93,75"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-06-16,BRL,2.898,286,"144,83","1,47","9,87%","133,00",0,"3,16","46,50%","419,73"
