DATA (Data),Faturamento Total,Faturamento Ifood,Faturamento Rappi
10 de fev. de 2021,381601.54,58396.70000000001,0
11 de fev. de 2021,349736.19,57653.100000000006,0
12 de fev. de 2021,490661.09999999986,90622.7,0
13 de fev. de 2021,806442.2699999999,168170.10000000003,0
14 de fev. de 2021,872379.0099999998,252118.1999999999,0
15 de fev. de 2021,637358.7300000002,104903.8,0
16 de fev. de 2021,623067.9599999998,128402.89999999998,0
17 de fev. de 2021,386599.96,70031.40000000002,0
18 de fev. de 2021,417159.8700000001,68852.8,0
19 de fev. de 2021,540693.8799999999,97268.89999999997,0
20 de fev. de 2021,1026552.2800000001,229287.49999999997,0
21 de fev. de 2021,941424.16,296203,0
22 de fev. de 2021,329337.41000000003,46622,0
23 de fev. de 2021,398945.48999999993,73407.20000000001,0
24 de fev. de 2021,333960.2799999999,62963.7,0
25 de fev. de 2021,346771.8800000001,64097.30000000002,0
26 de fev. de 2021,453740.53999999986,98317.30000000002,0
27 de fev. de 2021,870523.3700000001,199460.39999999994,0
28 de fev. de 2021,815689.9900000001,274309.80000000005,0
1 de mar. de 2021,268153.53,51464.600000000006,0
2 de mar. de 2021,320842.06999999995,68070.09999999999,0
3 de mar. de 2021,335384.8700000001,75815.6,0
4 de mar. de 2021,358509.30999999994,85655.69999999998,0
5 de mar. de 2021,436681.19999999995,114193.29999999997,0
6 de mar. de 2021,471384.5500000001,297320.8,0
7 de mar. de 2021,475207.85,338186.1,0
8 de mar. de 2021,162861.3,84399,0
9 de mar. de 2021,159018.19999999998,76008.4,0
10 de mar. de 2021,172415.46000000002,75000.40000000001,0
11 de mar. de 2021,184711.95999999996,87818.8,0
12 de mar. de 2021,311618.9699999999,148452.89999999997,0
13 de mar. de 2021,572486.8300000001,345579.5,0
14 de mar. de 2021,578185.2000000001,393496.70000000007,0
15 de mar. de 2021,134816.22999999998,68655.3,0
16 de mar. de 2021,162315.96999999997,86391.79999999999,0
17 de mar. de 2021,363511.47999999986,189630.99999999997,0
18 de mar. de 2021,284151.11999999994,174894.8,0
19 de mar. de 2021,406204.06000000006,268424.2,0
20 de mar. de 2021,924517.6299999999,699954.4,0
21 de mar. de 2021,1072231.9,884007,0
22 de mar. de 2021,247444.13999999993,149085.6,0
23 de mar. de 2021,336367.17000000004,217379.59999999998,0
24 de mar. de 2021,333254.92,206371.19999999998,0
25 de mar. de 2021,404861.42,238756,0
26 de mar. de 2021,456217.81999999995,398802.9999999999,0
27 de mar. de 2021,912544.7,815288.2,0
28 de mar. de 2021,1016809.4800000002,877054.4000000003,0
29 de mar. de 2021,269931.52,179458.90000000002,0
30 de mar. de 2021,265935.3,177918,0
31 de mar. de 2021,301346.8399999999,179204,0
1 de abr. de 2021,387224.82,225038.39999999997,0
2 de abr. de 2021,636814.6200000001,487780.2,0
3 de abr. de 2021,636092.4799999999,398080.69999999995,0
4 de abr. de 2021,696456.4800000001,517202.9999999999,0
5 de abr. de 2021,180318.87999999998,84011.40000000001,0
6 de abr. de 2021,187638.29999999996,92366.00000000001,0
7 de abr. de 2021,240040.18000000005,117233.8,0
8 de abr. de 2021,286657.31999999995,136257.8,0
9 de abr. de 2021,506971.62999999983,243009,0
10 de abr. de 2021,1117867.4400000002,610331.8,0
11 de abr. de 2021,1198845.3599999996,756212.2000000001,0
12 de abr. de 2021,144902.85999999996,53018.400000000016,0
13 de abr. de 2021,148076.83000000007,59024.70000000001,0
14 de abr. de 2021,178628.66999999995,64471.10000000001,0
15 de abr. de 2021,196590.07,72164.1,0
16 de abr. de 2021,287995.22,119496.5,0
17 de abr. de 2021,496431.1299999999,258239.90000000002,0
18 de abr. de 2021,597492.0899999999,315713.89999999997,0
19 de abr. de 2021,169387.51999999996,47235.40000000001,0
20 de abr. de 2021,220265.24999999994,68439.29999999999,0
21 de abr. de 2021,528510.6899999997,192156.2,0
22 de abr. de 2021,204304.4900000001,51033.8,0
23 de abr. de 2021,356133.45999999996,104835.79999999999,0
24 de abr. de 2021,829062.7200000001,240573.40000000002,0
25 de abr. de 2021,816774.1199999999,313261,0
26 de abr. de 2021,236856.02999999997,50743.200000000026,0
