,Unnamed: 0,Faturamento Total,Alcance,Frequencia,Impressoes,Cliques,CTR,CPM,CPC,Resultados,CustoResult,Custo
168,2021-06-18,435296.31,,,,,,,,,,
169,2021-06-19,801429.9199999999,,,,,,,,,,
170,2021-06-20,834655.0200000005,,,,,,,,,,
171,2021-06-21,261276.8399999999,,,,,,,,,,
172,2021-06-22,265071.13,,,,,,,,,,
173,2021-06-23,281332.7199999999,,,,,,,,,,
174,2021-06-24,368232.31,,,,,,,,,,
175,2021-06-25,486033.03,,,,,,,,,,
176,2021-06-26,977737.8299999996,,,,,,,,,,
177,2021-06-27,964832.8299999998,,,,,,,,,,
178,2021-06-28,295133.6199999999,,,,,,,,,,
179,2021-06-29,237097.6,,,,,,,,,,
180,2021-06-30,264940.98999999993,,,,,,,,,,
181,2021-07-01,335761.59,,,,,,,,,,
182,2021-07-02,478534.2600000002,,,,,,,,,,
183,2021-07-03,893682.01,,,,,,,,,,
184,2021-07-04,811735.9700000004,,,,,,,,,,
185,2021-07-05,325497.8700000002,,,,,,,,,,
186,2021-07-06,347349.84,,,,,,,,,,
187,2021-07-07,374366.9800000001,,,,,,,,,,
188,2021-07-08,445531.3400000001,,,,,,,,,,
189,2021-07-09,761983.4399999992,,,,,,,,,,
190,2021-07-10,935242.65,,,,,,,,,,
191,2021-07-11,903683.2700000004,,,,,,,,,,
192,2021-07-12,390695.7100000001,,,,,,,,,,
193,2021-07-13,430141.9199999998,,,,,,,,,,
194,2021-07-14,466979.9199999999,,,,,,,,,,
195,2021-07-15,516222.1300000001,,,,,,,,,,
196,2021-07-16,570478.7600000001,,,,,,,,,,
197,2021-07-17,979512.3,,,,,,,,,,
198,2021-07-18,962008.21,,,,,,,,,,
199,2021-07-19,722806.8199999998,,,,,,,,,,
200,2021-07-20,1486958.5600000003,,,,,,,,,,
201,2021-07-21,407718.03,,,,,,,,,,
202,2021-07-22,439917.6699999999,,,,,,,,,,
203,2021-07-23,554918.2899999999,,,,,,,,,,
204,2021-07-24,971147.9700000002,,,,,,,,,,
205,2021-07-25,970072.3,,,,,,,,,,
206,2021-07-26,428392.8099999999,,,,,,,,,,
207,2021-07-27,459270.9199999999,,,,,,,,,,
208,2021-07-28,298983.05,,,,,,,,,,
209,2021-07-29,322393.13,,,,,,,,,,
210,2021-07-30,407494.37,,,,,,,,,,
211,2021-07-31,791293.7800000001,,,,,,,,,,
212,2021-08-01,810878.1600000003,,,,,,,,,,
213,2021-08-02,310801.16,,,,,,,,,,
214,2021-08-03,286408.84,,,,,,,,,,
215,2021-08-04,319227.18999999994,,,,,,,,,,
216,2021-08-05,375789.1700000001,,,,,,,,,,
217,2021-08-06,571259.1799999998,,,,,,,,,,
218,2021-08-07,1051389.4399999997,,,,,,,,,,
219,2021-08-08,963533.22,,,,,,,,,,
220,2021-08-09,336472.2899999999,,,,,,,,,,
221,2021-08-10,400217.04000000015,,,,,,,,,,
222,2021-08-11,336462.3800000001,,,,,,,,,,
223,2021-08-12,330204.6000000001,,,,,,,,,,
224,2021-08-13,436126.20000000007,,,,,,,,,,
225,2021-08-14,956668.8899999995,,,,,,,,,,
226,2021-08-15,1014892.98,,,,,,,,,,
227,2021-08-16,294181.2900000001,,,,,,,,,,
228,2021-08-17,400557.78000000014,,,,,,,,,,
229,2021-08-18,460686.36,,,,,,,,,,
230,2021-08-19,502754.53,,,,,,,,,,
231,2021-08-20,672085.0100000001,,,,,,,,,,
232,2021-08-21,1160131.64,,,,,,,,,,
233,2021-08-22,1121960.9199999997,,,,,,,,,,
234,2021-08-23,402804.87,,,,,,,,,,
235,2021-08-24,434270.63,,,,,,,,,,
236,2021-08-25,507949.9699999996,,,,,,,,,,
237,2021-08-26,519867.9500000001,,,,,,,,,,
238,2021-08-27,500115.36999999976,,,,,,,,,,
239,2021-08-28,939375.2900000002,,,,,,,,,,
240,2021-08-29,917821.0,,,,,,,,,,
241,2021-08-30,327125.2500000001,,,,,,,,,,
242,2021-08-31,410276.7,,,,,,,,,,
243,2021-09-01,446880.1499999997,,,,,,,,,,
244,2021-09-02,495261.71,,,,,,,,,,
245,2021-09-03,699783.2699999998,,,,,,,,,,
246,2021-09-04,1140939.98,,,,,,,,,,
247,2021-09-05,1137429.3,,,,,,,,,,
248,2021-09-06,825125.3000000002,,,,,,,,,,
249,2021-09-07,1047161.0000000003,,,,,,,,,,
250,2021-09-08,381315.0699999998,,,,,,,,,,
251,2021-09-09,393938.4199999999,,,,,,,,,,
252,2021-09-10,566876.25,,,,,,,,,,
253,2021-09-11,1187799.71,,,,,,,,,,
254,2021-09-12,1195119.8600000003,,,,,,,,,,
255,2021-09-13,439545.3499999999,,,,,,,,,,
256,2021-09-14,469600.66999999975,,,,,,,,,,
257,2021-09-15,384463.96,,,,,,,,,,
258,2021-09-16,401029.09,,,,,,,,,,
259,2021-09-17,597481.63,,,,,,,,,,
260,2021-09-18,1248857.33,,,,,,,,,,
261,2021-09-19,1208268.2599999998,,,,,,,,,,
262,2021-09-20,501139.9199999999,,,,,,,,,,
263,2021-09-21,413758.72,,,,,,,,,,
264,2021-09-22,358908.99999999994,,,,,,,,,,
265,2021-09-23,470941.3300000001,,,,,,,,,,
266,2021-09-24,661508.2799999999,,,,,,,,,,
267,2021-09-25,1058489.21,,,,,,,,,,
268,2021-09-26,1193315.8999999994,,,,,,,,,,
269,2021-09-27,459806.9099999999,,,,,,,,,,
270,2021-09-28,515429.0999999998,,,,,,,,,,
271,2021-09-29,471204.31999999983,,,,,,,,,,
272,2021-09-30,508691.3499999997,,,,,,,,,,
273,2021-10-01,603035.4099999997,,,,,,,,,,
