,Faturamento Total,Dia,Cliques_facebook,Conversões_google,Cliques_google
142,706912.5024416295,2021-09-02,1200,211.17000000000002,444
143,909998.5531507168,2021-09-03,920,927.13,256
144,774488.3946386635,2021-09-04,677,361.32,733
145,758202.9455297961,2021-09-05,690,448.4,1025
146,654235.7887843887,2021-09-06,764,480.0,779
147,754914.6876047648,2021-09-07,1152,350.0,756
148,502392.2548544378,2021-09-08,1053,155.0,363
149,830165.9585092836,2021-09-09,1159,266.52,681
150,538439.4921297759,2021-09-10,952,255.63,547
151,1002960.6002884482,2021-09-11,1613,465.90999999999997,1013
152,1125523.5748278457,2021-09-12,1947,497.5,957
153,701163.2060243761,2021-09-13,1060,437.29,1063
154,896996.1581304236,2021-09-14,1592,238.0,447
155,940139.0409547398,2021-09-15,1037,335.98,951
156,813969.6205492687,2021-09-16,1222,219.68,613
157,714061.6458510511,2021-09-17,1062,114.69,302
158,845523.6454212671,2021-09-18,1613,196.0,710
159,1110333.2388870036,2021-09-19,1878,372.0,837
160,843903.3164488648,2021-09-20,1018,500.18,1663
161,899023.8908696665,2021-09-21,1371,267.31,1299
162,949586.3240334858,2021-09-22,1219,356.58,1431
163,893838.313736168,2021-09-23,748,468.08000000000004,1424
164,993235.1828198198,2021-09-24,961,423.13,1672
165,952739.6373600444,2021-09-25,1149,405.81,1492
166,855089.0769642025,2021-09-26,1376,478.70000000000005,1748
167,677874.2927886792,2021-09-27,905,339.97,851
168,727487.5182259567,2021-09-28,1421,322.90999999999997,579
169,853324.2758458288,2021-09-29,1588,190.0,483
170,809055.150045225,2021-09-30,1770,159.0,450
171,895908.5455857351,2021-10-01,2016,320.0,1139
172,927552.8964516168,2021-10-04,1249,244.5,523
173,1346298.900637074,2021-10-05,2191,391.0,1101
174,957417.4183400462,2021-10-06,2037,464.0,1141
175,947683.888623957,2021-10-07,1946,144.17000000000002,453
176,612125.2122036173,2021-10-08,1523,172.62,495
177,913955.2188990656,2021-10-09,2423,218.0,533
178,1378372.614894749,2021-10-10,2502,408.4,1183
179,979706.4014519582,2021-10-11,2015,245.09,534
180,1261709.5809111649,2021-10-12,2427,458.27,1205
181,755074.2753639752,2021-10-13,1018,217.0,555
182,706400.5056306934,2021-10-14,1256,178.0,462
183,804734.2664030651,2021-10-15,1407,321.21,744
184,1371599.9025185592,2021-10-16,2394,375.65999999999997,689
185,1117398.5634170377,2021-10-17,1869,264.5,668
186,525651.5895269195,2021-10-18,1215,152.78,405
187,586754.0603832091,2021-10-19,1244,349.73,863
188,763765.1982442093,2021-10-20,1113,194.17,437
189,790013.4882918729,2021-10-21,1304,119.5,413
190,913653.7304963024,2021-10-22,1175,161.86,554
191,815441.8065064668,2021-10-23,1455,378.19,759
192,1462697.2137750494,2021-10-24,3137,327.83,772
193,697411.4922898286,2021-10-25,1446,218.0,433
194,1037843.7279434744,2021-10-26,1609,299.76,720
195,697607.8465155682,2021-10-27,1374,163.62,415
196,717626.4839887986,2021-10-28,1900,124.08,343
197,1037804.9071564696,2021-10-29,2318,343.67,659
198,933069.2073887622,2021-10-30,1760,279.33000000000004,859
199,1550524.0764660551,2021-10-31,2933,364.0,920
