,Faturamento Total,Dia,Alcance,Frequencia,Impressoes,Cliques,CTR,CPM,CPC,Conversões,Resultados,CustoResult,CPL,Custo
40,829812.3899999995,2021-10-11,735,1.198639455782313,881,0,0.003405221339387,0.0,0.0,0,3,0.0,,0.0
41,1240008.0300000005,2021-10-12,645,1.1984496124031008,773,0,0.0077619663648124,0.0,0.0,0,6,0.0,,0.0
42,440960.4599999999,2021-10-13,662,1.2114803625377644,802,0,0.0037406483790523,0.0,0.0,0,3,0.0,,0.0
43,484833.7099999999,2021-10-14,657,1.2678843226788432,833,0,0.0048019207683073,0.0,0.0,0,4,0.0,,0.0
44,708917.0100000004,2021-10-15,671,1.2593144560357674,845,0,0.0023668639053254,0.0,0.0,0,2,0.0,,0.0
45,1092433.5299999996,2021-10-16,437,1.17162471395881,512,0,0.001953125,0.0,0.0,0,1,0.0,,0.0
46,954526.98,2021-10-17,435,1.2137931034482758,528,0,0.0056818181818181,0.0,0.0,2,3,0.0,0.0,0.0
47,290788.5899999999,2021-10-18,417,1.2733812949640289,531,0,0.0018832391713747,0.0,0.0,0,1,0.0,,0.0
48,293807.48000000004,2021-10-19,293,1.4095563139931742,413,0,0.0121065375302663,0.0,0.0,0,5,0.0,,0.0
49,332256.31999999995,2021-10-20,219,1.3196347031963471,289,0,0.0034602076124567,0.0,0.0,0,1,0.0,,0.0
50,424611.4099999997,2021-10-21,186,1.3978494623655917,260,0,0.0115384615384615,0.0,0.0,0,3,0.0,,0.0
51,675316.33,2021-10-22,187,1.288770053475936,241,0,0.0,0.0,0.0,0,0,0.0,,0.0
52,1301002.4,2021-10-23,123,1.2032520325203253,148,0,0.0135135135135135,0.0,0.0,0,2,0.0,,0.0
53,944790.68,2021-10-24,144,1.2777777777777777,184,0,0.0,0.0,0.0,0,0,0.0,,0.0
54,342183.7800000001,2021-10-25,165,1.187878787878788,196,0,0.0,0.0,0.0,0,0,0.0,,0.0
55,455164.7299999998,2021-10-26,181,1.430939226519337,259,0,0.0115830115830115,0.0,0.0,0,3,0.0,,0.0
56,451364.4699999997,2021-10-27,142,1.3028169014084507,185,0,0.0,0.0,0.0,0,0,0.0,,0.0
57,504187.13999999984,2021-10-28,142,1.4014084507042253,199,0,0.0050251256281407,0.0,0.0,0,1,0.0,,0.0
58,678384.3599999998,2021-10-29,138,1.355072463768116,187,0,0.0106951871657754,0.0,0.0,0,2,0.0,,0.0
59,1160452.5199999998,2021-10-30,102,1.3529411764705883,138,0,0.0,0.0,0.0,0,0,0.0,,0.0
