,Faturamento Total,Dia,Impressoes,Cliques,CTR,CPC,CPM,Custo
182,484833.7099999999,2021-10-14,223442.0,1718.0,28.347043,4.537446,169.814818,2453.05
183,708917.0100000004,2021-10-15,234759.0,2151.0,31.539611999999998,4.704524,303.919094,2767.33
184,1092433.5299999996,2021-10-16,336773.0,3083.0,31.148165,3.8807869999999998,175.843734,3601.29
185,954526.98,2021-10-17,296585.0,2537.0,30.515918,3.8547459999999996,200.387105,3020.12
186,290788.5899999999,2021-10-18,1211013.0,1620.0,33.318235,4.5428619999999995,163.161177,2339.6899999999996
187,293807.48000000004,2021-10-19,221590.0,2107.0,32.672741,4.957527,270.549283,2732.8
188,332256.31999999995,2021-10-20,194944.0,1550.0,26.504961,5.141517,145.232395,2404.85
189,424611.4099999997,2021-10-21,1114476.0,1717.0,29.213118,5.507469,216.768025,2753.64
190,675316.33,2021-10-22,198595.0,1729.0,27.852225,6.683542000000001,296.303288,2951.5099999999998
191,1301002.4,2021-10-23,223532.0,2214.0,26.979455,6.067993,268.79089400000004,3213.0699999999997
192,944790.68,2021-10-24,505548.0,3909.0,31.055251,5.991208,351.807182,6230.03
193,342183.7800000001,2021-10-25,305403.0,1879.0,31.249439000000002,5.8442989999999995,172.60296699999998,3360.7000000000003
194,455164.7299999998,2021-10-26,321149.0,2329.0,31.160030000000003,6.373225,405.190353,4334.9800000000005
195,451364.4699999997,2021-10-27,1278072.0,1789.0,19.360077,5.316834,243.29788,4270.38
196,504187.13999999984,2021-10-28,428396.0,2243.0,26.026366999999997,5.793200000000001,386.85646099999997,5885.9
197,678384.3599999998,2021-10-29,405430.0,2977.0,26.178785,4.418499,237.75822999999997,4952.81
198,1160452.5199999998,2021-10-30,304376.0,2619.0,30.690662000000003,5.01379,377.37577000000005,3930.39
199,972095.6400000004,2021-10-31,586679.0,3853.0,29.174984000000002,4.276516,300.59662599999996,5750.77
