"Início dos relatórios","Término dos relatórios","Nome da campanha",Alcance,Impressões,"Valor gasto (BRL)","CTR (taxa de cliques no link)","Cliques no link",Frequência
2021-09-24,2021-09-24,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,126718,170415,2973.49,0.644896,1099,1.344837
2021-09-24,2021-09-24,2021_geral_topo_engaj_aon_engaj_tipo-p,92111,96127,699.36,0.121714,117,1.0436
2021-09-23,2021-09-23,conv_lp_semana_do_gelato,432714,496967,6948.37,1.112951,5531,1.148488
2021-09-23,2021-09-23,rec_topo_int_regioes_casquinha,71697,76455,201.55,0.105945,81,1.066363
2021-09-23,2021-09-23,2021_perf_fundo_wp_aon_msg_chat_tipo-p,4654,4959,75.52,1.451906,72,1.065535
2021-09-23,2021-09-23,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,414818,435298,964.21,0.105675,460,1.049371
2021-09-23,2021-09-23,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,729679,796868,1733.49,0.092111,734,1.09208
2021-09-23,2021-09-23,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,554968,574899,924.55,0.078101,449,1.035914
2021-09-23,2021-09-23,2021_perf_meio_mkt-places-delivery_aon_conv_lead,112177,115851,1227.74,0.645657,748,1.032752
2021-09-23,2021-09-23,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,103123,131141,2133.61,0.634432,832,1.271695
2021-09-23,2021-09-23,2021_geral_topo_engaj_aon_engaj_tipo-p,69773,71226,404.9,0.084239,60,1.020825
2021-09-22,2021-09-22,conv_lp_semana_do_gelato,194876,224803,3023.46,1.501314,3375,1.153569
2021-09-22,2021-09-22,rec_topo_int_regioes_casquinha,91051,98986,222.88,0.143455,142,1.087149
2021-09-22,2021-09-22,2021_perf_fundo_wp_aon_msg_chat_tipo-p,2418,2516,39.49,1.510334,38,1.040529
2021-09-22,2021-09-22,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,564608,581645,1179.41,0.122927,715,1.030175
2021-09-22,2021-09-22,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,946132,1020755,2146.13,0.110115,1124,1.078872
2021-09-22,2021-09-22,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,562142,598501,707.7,0.073851,442,1.064679
2021-09-22,2021-09-22,2021_perf_meio_mkt-places-delivery_aon_conv_lead,162959,174019,1730.83,0.700498,1219,1.06787
2021-09-22,2021-09-22,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,90473,120238,1952.4,0.642892,773,1.328993
2021-09-22,2021-09-22,2021_geral_topo_engaj_aon_engaj_tipo-p,63246,64440,301.42,0.097765,63,1.018879
2021-09-21,2021-09-21,conv_lp_semana_do_gelato,208316,250847,2996.43,1.710206,4290,1.204166
2021-09-21,2021-09-21,rec_topo_int_regioes_casquinha,80255,87191,196.04,0.123866,108,1.086425
2021-09-21,2021-09-21,2021_perf_fundo_wp_aon_msg_chat_tipo-p,1470,1561,27.17,2.370275,37,1.061905
2021-09-21,2021-09-21,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,529780,554432,1058.03,0.099922,554,1.046533
2021-09-21,2021-09-21,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,848985,954300,1884.72,0.095567,912,1.124048
2021-09-21,2021-09-21,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,639478,696848,884.7,0.069599,485,1.089714
2021-09-21,2021-09-21,rec_topo_int_regioes_speciali_ninho_al_cafe,0,0,0,,,0
2021-09-21,2021-09-21,2021_perf_meio_mkt-places-delivery_aon_conv_lead,191161,201415,1751.52,0.680684,1371,1.053641
2021-09-21,2021-09-21,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,101115,133567,2125.98,0.723981,967,1.320942
2021-09-21,2021-09-21,2021_geral_topo_engaj_aon_engaj_tipo-p,101277,104722,570.61,0.105995,111,1.034016
2021-09-20,2021-09-20,conv_lp_semana_do_gelato,210298,237141,2403.22,1.758448,4170,1.127643
2021-09-20,2021-09-20,rec_topo_int_regioes_casquinha,70333,76076,148.56,0.114359,87,1.081654
2021-09-20,2021-09-20,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,501749,508297,796.85,0.09404,478,1.01305
2021-09-20,2021-09-20,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,779244,863022,1385.68,0.076823,663,1.107512
2021-09-20,2021-09-20,rec_topo_int_regioes_speciali_ninho_al_cafe,447478,468263,520.42,0.068765,322,1.046449
2021-09-20,2021-09-20,2021_perf_meio_mkt-places-delivery_aon_conv_lead,140855,148571,1075.6,0.685194,1018,1.05478
2021-09-20,2021-09-20,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,88478,114075,1347.58,0.609248,695,1.289304
2021-09-20,2021-09-20,2021_geral_topo_engaj_aon_engaj_tipo-p,65998,66679,391.63,0.104981,70,1.010318
2021-09-19,2021-09-19,rec_topo_int_regioes_casquinha,89567,98107,191.55,0.1162,114,1.095348
2021-09-19,2021-09-19,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,600697,621035,1009.87,0.100477,624,1.033857
2021-09-19,2021-09-19,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,967419,1073309,1802.44,0.076865,825,1.109456
2021-09-19,2021-09-19,rec_topo_int_regioes_speciali_ninho_al_cafe,637560,651909,731.71,0.073783,481,1.022506
2021-09-19,2021-09-19,2021_perf_meio_mkt-places-delivery_aon_conv_lead,237566,256287,1987.1,0.732772,1878,1.078803
2021-09-19,2021-09-19,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,143102,188107,2343.12,0.662389,1246,1.314496
2021-09-19,2021-09-19,2021_geral_topo_engaj_aon_engaj_tipo-p,98000,99546,518.6,0.156711,156,1.015776
2021-09-18,2021-09-18,rec_topo_int_regioes_casquinha,80639,88429,198.98,0.13231,117,1.096603
2021-09-18,2021-09-18,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,567540,585459,1063.58,0.076009,445,1.031573
2021-09-18,2021-09-18,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,854264,954891,1911.38,0.080219,766,1.117794
2021-09-18,2021-09-18,rec_topo_int_regioes_speciali_ninho_al_cafe,559988,589377,774.42,0.075164,443,1.052481
2021-09-18,2021-09-18,2021_perf_meio_mkt-places-delivery_aon_conv_lead,199298,215081,2236.31,0.74995,1613,1.079193
2021-09-18,2021-09-18,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,131229,172075,2683.67,0.687491,1183,1.311257
2021-09-18,2021-09-18,2021_geral_topo_engaj_aon_engaj_tipo-p,95457,98132,584.46,0.144703,142,1.028023
2021-09-17,2021-09-17,rec_topo_int_regioes_casquinha,78074,85411,201.55,0.120593,103,1.093975
2021-09-17,2021-09-17,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,524512,546641,1012.06,0.086528,473,1.04219
2021-09-17,2021-09-17,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,854996,936655,1778.43,0.079111,741,1.095508
2021-09-17,2021-09-17,rec_topo_int_regioes_speciali_ninho_al_cafe,548817,586669,748.09,0.070909,416,1.06897
2021-09-17,2021-09-17,2021_perf_meio_mkt-places-delivery_aon_conv_lead,144409,162851,1849.21,0.65213,1062,1.127707
2021-09-17,2021-09-17,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,101687,136097,2263.64,0.696562,948,1.338391
2021-09-17,2021-09-17,2021_geral_topo_engaj_aon_engaj_tipo-p,84858,87346,579.05,0.149978,131,1.02932
2021-09-16,2021-09-16,rec_topo_int_regioes_casquinha,98172,105883,244.6,0.133166,141,1.078546
2021-09-16,2021-09-16,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,569585,604178,1115.83,0.104274,630,1.060734
2021-09-16,2021-09-16,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,972515,1080504,1952.6,0.07478,808,1.111041
2021-09-16,2021-09-16,rec_topo_int_regioes_speciali_ninho_al_cafe,604015,626283,801.02,0.077281,484,1.036867
2021-09-16,2021-09-16,2021_perf_meio_mkt-places-delivery_aon_conv_lead,172127,183575,2025.6,0.665668,1222,1.066509
2021-09-16,2021-09-16,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,120348,157923,2574.24,0.669947,1058,1.31222
2021-09-16,2021-09-16,2021_geral_topo_engaj_aon_engaj_tipo-p,85723,85723,517.47,0.13532,116,1
2021-09-15,2021-09-15,rec_topo_int_regioes_casquinha,83246,89878,208.96,0.129064,116,1.079667
2021-09-15,2021-09-15,2021_perf_fundo_wp_aon_msg_chat_tipo-p,1247,1309,14.44,1.680672,22,1.049719
2021-09-15,2021-09-15,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,393216,415480,726.66,0.103495,430,1.05662
2021-09-15,2021-09-15,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,691701,768820,1283.92,0.07518,578,1.111492
2021-09-15,2021-09-15,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,11780,11908,15.98,0.10917,13,1.010866
2021-09-15,2021-09-15,rec_topo_int_regioes_speciali_ninho_al_cafe,401339,422026,523.35,0.074403,314,1.051545
2021-09-15,2021-09-15,2021_perf_meio_mkt-places-delivery_aon_conv_lead,111880,122838,1418.57,0.844201,1037,1.097944
2021-09-15,2021-09-15,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,93277,118549,1838.34,0.780268,925,1.270935
2021-09-15,2021-09-15,2021_geral_topo_engaj_aon_engaj_tipo-p,59175,59982,332.12,0.151712,91,1.013638
2021-09-14,2021-09-14,rec_topo_int_regioes_casquinha,85565,93290,189.63,0.106121,99,1.090282
2021-09-14,2021-09-14,2021_perf_fundo_wp_aon_msg_chat_tipo-p,2591,2839,33.34,2.536104,72,1.095716
2021-09-14,2021-09-14,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,421547,435598,687.87,0.080579,351,1.033332
2021-09-14,2021-09-14,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,656600,741441,1226.64,0.075394,559,1.129213
2021-09-14,2021-09-14,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,397820,425055,387.42,0.045406,193,1.068461
2021-09-14,2021-09-14,rec_topo_int_regioes_speciali_ninho_al_cafe,503028,526435,660.79,0.073513,387,1.046532
2021-09-14,2021-09-14,2021_perf_meio_mkt-places-delivery_aon_conv_lead,180278,201428,1990.85,0.790357,1592,1.117319
2021-09-14,2021-09-14,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,115292,157929,2301.42,0.833919,1317,1.369818
2021-09-14,2021-09-14,2021_geral_topo_engaj_aon_engaj_tipo-p,69260,70658,417.25,0.167002,118,1.020185
2021-09-13,2021-09-13,rec_topo_int_regioes_casquinha,77498,84702,155.22,0.120422,102,1.092957
2021-09-13,2021-09-13,2021_perf_fundo_wp_aon_msg_chat_tipo-p,1575,1748,33.02,3.775744,66,1.109841
2021-09-13,2021-09-13,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,659027,695817,1096.1,0.09011,627,1.055825
2021-09-13,2021-09-13,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,1063111,1217548,2034.69,0.080243,977,1.145269
2021-09-13,2021-09-13,rec_topo_int_regioes_speciali_ninho_al_cafe,527967,552649,560.76,0.067855,375,1.046749
2021-09-13,2021-09-13,2021_perf_meio_mkt-places-delivery_aon_conv_lead,134804,146572,1226.77,0.723194,1060,1.087297
2021-09-13,2021-09-13,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,92663,119930,1488.23,0.683732,820,1.29426
2021-09-13,2021-09-13,2021_geral_topo_engaj_aon_engaj_tipo-p,52794,53679,307.44,0.162075,87,1.016763
2021-09-12,2021-09-12,rec_topo_int_regioes_casquinha,88371,98687,186.85,0.12869,127,1.116735
2021-09-12,2021-09-12,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,706475,759283,1124.58,0.082051,623,1.074749
2021-09-12,2021-09-12,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,1055606,1202127,1988.36,0.082936,997,1.138803
2021-09-12,2021-09-12,rec_topo_int_regioes_speciali_ninho_al_cafe,759063,791669,812.94,0.071621,567,1.042956
2021-09-12,2021-09-12,2021_perf_meio_mkt-places-delivery_aon_conv_lead,190567,207256,1809.73,0.939418,1947,1.087575
2021-09-12,2021-09-12,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,128914,170369,2253.94,0.930921,1586,1.321571
2021-09-12,2021-09-12,2021_geral_topo_engaj_aon_engaj_tipo-p,90132,93089,491.92,0.192289,179,1.032807
2021-09-11,2021-09-11,rec_topo_int_regioes_casquinha,88410,97257,195.87,0.099736,97,1.100068
2021-09-11,2021-09-11,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,710602,739879,1181.45,0.083257,616,1.0412
2021-09-11,2021-09-11,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,1015968,1155353,2107.18,0.080755,933,1.137194
2021-09-11,2021-09-11,rec_topo_int_regioes_speciali_ninho_al_cafe,670128,701923,865.2,0.076932,540,1.047446
2021-09-11,2021-09-11,2021_perf_meio_mkt-places-delivery_aon_conv_lead,164642,181049,1899.35,0.890919,1613,1.099653
2021-09-11,2021-09-11,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,118677,154109,2273.6,0.894821,1379,1.298558
2021-09-11,2021-09-11,2021_geral_topo_engaj_aon_engaj_tipo-p,84724,87245,520.01,0.182245,159,1.029755
2021-09-10,2021-09-10,rec_topo_int_regioes_casquinha,63471,66813,128.66,0.094293,63,1.052654
2021-09-10,2021-09-10,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,439268,464361,753.31,0.090447,420,1.057125
2021-09-10,2021-09-10,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,661435,759650,1315.57,0.069242,526,1.148488
2021-09-10,2021-09-10,rec_topo_int_regioes_speciali_ninho_al_cafe,409509,431572,549.59,0.068818,297,1.053877
2021-09-10,2021-09-10,2021_perf_meio_mkt-places-delivery_aon_conv_lead,105625,110083,1105.34,0.864802,952,1.042206
2021-09-10,2021-09-10,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,81750,102665,1438.98,0.892222,916,1.255841
2021-09-10,2021-09-10,2021_geral_topo_engaj_aon_engaj_tipo-p,50138,51224,296.13,0.216695,111,1.02166
2021-09-09,2021-09-09,rec_topo_int_regioes_casquinha,88774,96366,185.34,0.076791,74,1.085521
2021-09-09,2021-09-09,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,693514,730572,1078.69,0.079937,584,1.053435
2021-09-09,2021-09-09,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,756431,895541,1481.95,0.07582,679,1.183903
2021-09-09,2021-09-09,rec_topo_int_regioes_speciali_ninho_al_cafe,568199,595412,702.4,0.069028,411,1.047893
2021-09-09,2021-09-09,2021_perf_meio_mkt-places-delivery_aon_conv_lead,151211,160794,1407.89,0.720798,1159,1.063375
2021-09-09,2021-09-09,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,133635,168355,2077.56,0.802471,1351,1.259812
2021-09-09,2021-09-09,2021_geral_topo_engaj_aon_engaj_tipo-p,58456,60758,341.68,0.136608,83,1.03938
2021-09-08,2021-09-08,rec_topo_int_regioes_casquinha,95227,104196,169.96,0.10557,110,1.094185
2021-09-08,2021-09-08,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,807733,831818,1024.8,0.084995,707,1.029818
2021-09-08,2021-09-08,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,636518,746537,889.31,0.073674,550,1.172845
2021-09-08,2021-09-08,rec_topo_int_regioes_speciali_ninho_al_cafe,723533,759973,648.8,0.060528,460,1.050364
2021-09-08,2021-09-08,2021_perf_meio_mkt-places-delivery_aon_conv_lead,143749,152035,1175.59,0.692604,1053,1.057642
2021-09-08,2021-09-08,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,115852,147825,1701.47,0.93083,1376,1.275981
2021-09-08,2021-09-08,2021_geral_topo_engaj_aon_engaj_tipo-p,48251,49343,267.55,0.184423,91,1.022632
2021-09-07,2021-09-07,rec_topo_int_regioes_casquinha,117307,128611,176.1,0.114298,147,1.096363
2021-09-07,2021-09-07,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,1059114,1134794,1057.84,0.085214,967,1.071456
2021-09-07,2021-09-07,rec_topo_int_regioes_speciali_ninho_al_cafe,1040981,1088169,594.2,0.058814,640,1.04533
2021-09-07,2021-09-07,2021_perf_meio_mkt-places-delivery_aon_conv_lead,143672,152239,853.81,0.756705,1152,1.059629
2021-09-07,2021-09-07,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,119873,145451,1289.27,0.891709,1297,1.213376
2021-09-07,2021-09-07,2021_geral_topo_engaj_aon_engaj_tipo-p,85728,88577,409.53,0.171602,152,1.033233
2021-09-06,2021-09-06,rec_topo_int_regioes_casquinha,104922,113352,171.57,0.116451,132,1.080345
2021-09-06,2021-09-06,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,955037,992961,1014.12,0.087919,873,1.039709
2021-09-06,2021-09-06,rec_topo_int_regioes_speciali_ninho_al_cafe,362147,366776,192.58,0.053439,196,1.012782
2021-09-06,2021-09-06,2021_perf_meio_mkt-places-delivery_aon_conv_lead,92121,96385,632.93,0.792654,764,1.046287
2021-09-06,2021-09-06,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,78492,94086,951.15,0.839657,790,1.19867
